name,Lesson1,rate1,Lesson2,rate2,Lesson3,rate3,Lesson4,rate4,Lesson5,rate5,Lesson6,rate6,Lesson7,rate7,Lesson8,rate8,Lesson9,rate9,Lesson10,rate10,Lesson11,rate11,Lesson12,rate12,Lesson13,rate13,Lesson14,rate14,Lesson15,rate15,Lesson16,rate16,Lesson17,rate17,Lesson18,rate18,Lesson19,rate19,Lesson20,rate20
朱红,[1, 100],[0, 100],[1, 100],[1, 100],[1, 100],[1, 100],[1, 100],[1, 100],[1, 100],[1, 2.0140400779163072],[1, 100],[1, 100],[1, 1.7706210858839468],[1, 1.214931105873844],[1, 100],[1, 100],[1, 100],[1, 100],[1, 100],[1, 100]
张建国,[1, 100],[1, 100],[1, 100],[1, 0.9337236824215757],[1, 1.405349470399588],[1, 100],[1, 100],[1, 100],[1, 100],[0, 100],[1, 0.9781290160174632],[1, 100],[1, 0.8064511999130773],[1, 100],[1, 100],[1, 100],[1, 0.7473873659891223],[1, 1.3682863765192916],[1, 100],[1, 100]
寇静,[1, 100],[0, 100],[1, 1.2587215920790529],[1, 100],[0, 100],[1, 0.8723336938429095],[1, 1.2632320103748258],[1, 100],[1, 100],[0, 100],[1, 100],[0, 100],[1, 1.0125916663326855],[1, 100],[0, 100],[1, 100],[1, 1.183173950619504],[1, 0.5743475848240782],[1, 100],[1, 100]
李勇,[1, 100],[1, 100],[1, 100],[0, 100],[1, 100],[1, 1.380113395920803],[1, 100],[1, 100],[1, 100],[1, 100],[0, 100],[0, 100],[1, 100],[1, 100],[1, 100],[1, 100],[1, 1.2358253653959446],[1, 1.7071870830753442],[1, 100],[0, 1.580749237573709]
何宇,[1, 100],[0, 100],[1, 100],[1, 100],[0, 100],[0, 1.3894601393166837],[0, 100],[1, 100],[1, 0.9766048208378891],[1, 100],[1, 100],[1, 100],[1, 100],[1, 100],[1, 100],[1, 100],[0, 100],[1, 100],[1, 100],[1, 100]
鞠磊,[1, 1.5157565574654037],[0, 1.080741643448283],[0, 1.9745352638626574],[0, 1.752005599942333],[1, 1.7075148488753],[1, 1.4543191498169317],[0, 1.849725854879822],[0, 1.3006234203559304],[1, 1.2267013620684306],[0, 1.567398350383076],[0, 1.203575924925595],[0, 2.002275865974899],[0, 1.462217138640321],[1, 1.6840679870874231],[0, 1.5036299381270848],[1, 1.056093929112122],[0, 1.6859144825305066],[0, 1.1466357995604606],[0, 1.3678550168821904],[0, 1.8000677073991818]
刘淑华,[1, 1.8869452126667623],[0, 1.6887332802771886],[1, 1.3019236531845333],[0, 1.5084978917476242],[0, 1.5506860218172518],[1, 1.2201715549723287],[0, 1.1051062306655954],[0, 1.2737567671183205],[0, 1.5599257836206375],[0, 1.584354589439513],[1, 1.0704135434649482],[0, 1.5376748787022385],[0, 1.309675732318436],[0, 1.5456085886177142],[0, 1.343630457977256],[0, 1.9032597685939732],[0, 1.7478093658830691],[1, 1.3742963680158256],[0, 1.4613585827309254],[1, 1.3395774425964122]
朱冬梅,[1, 1.7650412625660983],[0, 1.3690483625633494],[0, 1.083258842442477],[0, 1.3498744014083062],[0, 0.9491092185056504],[0, 0.9242450397383735],[0, 1.8699070086203067],[0, 1.5012215350669642],[0, 1.6438432005943253],[0, 1.8342225366013993],[0, 1.2392240033360784],[0, 1.3682563220362505],[0, 1.3609528833648477],[0, 1.6833296994136817],[0, 1.502182495466784],[0, 1.7559043627431967],[0, 1.3496985105991468],[0, 1.0369827662558753],[0, 1.4137967172902806],[0, 1.3100980465866834]
冯龙,[0, 1.2412091675812609],[0, 1.2642359913363732],[0, 1.46380803319586],[0, 1.6798794712712186],[0, 1.4894271379430453],[0, 1.5911970297897393],[0, 1.4546391053729824],[1, 1.7727902793920645],[1, 1.8147797326913921],[0, 1.2993551424823058],[1, 1.4675460179904716],[1, 1.8418224843926985],[0, 1.2236611747135324],[0, 1.6649509399224578],[0, 1.9176546877349003],[0, 1.7187188625889838],[0, 1.632258383262462],[1, 1.540922233895506],[0, 1.1315952127138058],[0, 1.4275234759874493]
杨荣,[0, 0.8785556892341904],[0, 1.0438590458022046],[0, 1.2702257089850022],[0, 1.0839395796295894],[0, 0.9359429381768194],[0, 1.6015896252791315],[0, 1.5481134295756047],[0, 1.4673128805323294],[0, 1.218881571918232],[0, 0.7907347816586846],[0, 1.1269930670985238],[0, 1.6421200798740734],[0, 1.055751103091562],[0, 1.2798320386624045],[0, 0.8623500743509438],[0, 1.4501639751157067],[0, 1.0617658209840108],[0, 1.5411343182774995],[0, 1.5797425281470088],[0, 1.2812788600494034]
